,close,high,limit_down,limit_up,low,open,open_interest,total_turnover,trading_date,volume
2018-07-31 21:01:00,3990.0000000000014,3994.0,3705.0,4262.0,3988.0,3992.0,1231896.0,673840840.0,2018-08-01,16884.0
2018-07-31 21:02:00,3988.0,3991.0,3705.0,4262.0,3984.0,3990.0000000000014,1229986.0,349464220.0,2018-08-01,8764.0
2018-07-31 21:03:00,3988.0,3991.0,3705.0,4262.0,3987.0,3988.0,1225614.0,330282000.0,2018-08-01,8280.0
2018-07-31 21:04:00,3993.0,3993.0,3705.0,4262.0,3986.0,3988.0,1222622.0,295433840.0,2018-08-01,7406.0
2018-07-31 21:05:00,3993.0,3994.0,3705.0,4262.0,3991.0,3993.0,1221242.0,249154780.0,2018-08-01,6240.0
2018-07-31 21:06:00,3997.0,3998.0,3705.0,4262.0,3993.0,3993.0,1219252.0,370506760.0,2018-08-01,9274.0
2018-07-31 21:07:00,3994.0,4001.0,3705.0,4262.0,3993.0,3998.0,1218462.0,378817140.0,2018-08-01,9478.0
2018-07-31 21:08:00,3994.0,3997.0,3705.0,4262.0,3993.0,3994.0,1218488.0,108178400.0,2018-08-01,2708.0
2018-07-31 21:09:00,3993.0,3995.0,3705.0,4262.0,3993.0,3994.0,1218570.0,59744560.0,2018-08-01,1496.0
2018-07-31 21:10:00,3989.0,3994.0000000000014,3705.0,4262.0,3989.0,3993.0,1217690.0,317142060.0,2018-08-01,7946.0
2018-07-31 21:11:00,3989.0000000000014,3991.0,3705.0,4262.0,3987.0,3989.0,1217962.0,251417000.0,2018-08-01,6302.0
2018-07-31 21:12:00,3991.0,3992.0,3705.0,4262.0,3989.0000000000014,3989.0000000000014,1218236.0,75186680.0,2018-08-01,1884.0
2018-07-31 21:13:00,3994.0,3995.0000000000014,3705.0,4262.0,3991.0,3991.0,1218418.0,116128700.0,2018-08-01,2908.0
2018-07-31 21:14:00,3994.0,3995.0000000000014,3705.0,4262.0,3993.0,3995.0000000000014,1218820.0,123582880.0,2018-08-01,3094.0
2018-07-31 21:15:00,3994.0,3995.0,3705.0,4262.0,3993.0,3994.0,1218320.0,70139660.0,2018-08-01,1756.0
2018-07-31 21:16:00,3995.0,3996.0,3705.0,4262.0,3994.0,3994.0,1218236.0,57216380.0,2018-08-01,1432.0
