,date,open,close,high,low,volume,open_interest
754865,20120511,61100000,60020000,61150000,60000000,206804,55020
754866,20120514,60400000,59760000,60450000,59600000,207668,57028
754867,20120515,58950000,58420000,59100000,57110000,445150,82238
754868,20120516,57500000,56470000,57860000,56430000,599202,108376
754869,20120517,57050000,57630000,57870000,56910000,558288,89738
754870,20120518,58080000,58630000,58810000,57680000,695576,92162
754871,20120521,59570000,59400000,59640000,59030000,405766,97686
754872,20120522,59200000,58900000,59300000,58820000,371088,90716
754873,20120523,58000000,57910000,58180000,57590000,300170,90202
754874,20120524,57850000,58320000,58380000,57660000,301270,85938
754875,20120525,58580000,59040000,59120000,58040000,420278,92544
754876,20120528,59400000,59860000,59920000,59160000,381418,94920
754877,20120529,59330000,59620000,59820000,59220000,349920,93104
754878,20120530,58170000,58010000,58550000,57980000,349610,94548
754879,20120531,58360000,58510000,58780000,58260000,365958,85856
754880,20120601,58000000,58320000,58400000,57710000,296984,86528
754881,20120604,59230000,59490000,59980000,59010000,393688,87274
754882,20120605,59540000,59310000,59850000,59210000,323394,87988
754883,20120606,60010000,60880000,60920000,59910000,343846,89946
754884,20120607,61450000,61340000,61540000,61100000,272726,91644
754885,20120608,60050000,59350000,60230000,59050000,316480,79718
754886,20120611,60540000,60620000,60990000,60310000,207094,77300
754887,20120612,59920000,59890000,60380000,59780000,243702,87952
754888,20120613,60500000,60830000,60830000,60400000,184636,80188
754889,20120614,60680000,60800000,61280000,60610000,189246,82052
754890,20120615,60500000,60700000,60850000,60320000,208546,80836
754891,20120618,60870000,60100000,60950000,60030000,309918,99022
754892,20120619,60580000,60610000,60800000,60450000,168258,76972
754893,20120620,59960000,60100000,60290000,59900000,175782,83302
754894,20120621,59000000,59110000,59250000,58930000,141540,75606
754895,20120625,57000000,57160000,57420000,56910000,162514,89926
754896,20120626,58300000,57910000,58300000,57830000,139496,83698
754897,20120627,57670000,57450000,57710000,57250000,134318,90242
754898,20120628,57780000,57360000,57820000,57330000,120340,88594
754899,20120629,56510000,57510000,57640000,56320000,234654,83390
754900,20120702,58310000,57960000,58350000,57850000,156980,73088
754901,20120703,58200000,59080000,59150000,58100000,186102,68056
754902,20120704,59520000,59480000,59790000,59320000,133860,61944
754903,20120705,59600000,59940000,59950000,59440000,118224,64576
754904,20120706,59290000,58720000,59320000,58640000,148200,64902
754905,20120709,57900000,58080000,58320000,57820000,141662,71908
754906,20120710,58130000,57980000,58340000,57950000,100886,69612
754907,20120711,57550000,57750000,57800000,57500000,95462,69574
754908,20120712,57740000,57430000,57790000,57280000,113558,77556
754909,20120713,57700000,58280000,58300000,57640000,96864,69344
754910,20120716,58100000,58280000,58340000,57870000,90630,63190
754911,20120717,58450000,58300000,58770000,58120000,104858,59076
754912,20120718,58350000,58110000,58380000,57800000,76044,57180
754913,20120719,58150000,58220000,58280000,57970000,64602,55478
754914,20120720,58090000,57990000,58110000,57870000,61744,54728
754915,20120723,58060000,57610000,58080000,57550000,60596,50946
754916,20120724,57690000,57710000,57910000,57610000,38710,46162
754917,20120725,57840000,57400000,58170000,57400000,81420,64072
754918,20120726,58400000,58720000,58860000,58200000,100676,55172
754919,20120727,58620000,59270000,59320000,58620000,83740,57758
754920,20120730,59230000,58930000,59250000,58870000,66076,53020
754921,20120731,59780000,60240000,60440000,59720000,124084,61994
754922,20120801,59650000,59900000,59920000,59490000,76542,60402
754923,20120802,58800000,58960000,59100000,58800000,67152,60746
754924,20120803,58660000,58620000,58680000,58420000,54240,62202
754925,20120806,59700000,59520000,59720000,59410000,48632,58854
754926,20120807,59660000,59660000,59740000,59560000,38914,58194
754927,20120808,59990000,59550000,59990000,59530000,56720,60102
754928,20120809,59880000,60200000,60220000,59800000,70034,69126
754929,20120810,60050000,59760000,60060000,59610000,56594,65498
754930,20120813,60040000,59950000,60240000,59860000,78452,68494
754931,20120814,59740000,59760000,59800000,59440000,62094,63982
754932,20120815,59610000,59530000,59690000,59500000,42428,62360
754933,20120816,59690000,59520000,59780000,59450000,40694,64478
754934,20120817,60160000,60310000,60370000,60030000,58038,70790
754935,20120820,60000000,60190000,60340000,59960000,53440,71480
754936,20120821,61000000,61480000,61580000,60940000,119104,91262
754937,20120822,62080000,62600000,62660000,62020000,112388,102880
754938,20120823,63370000,65260000,65650000,63330000,418584,151188
754939,20120824,65180000,64870000,65480000,64590000,313812,155740
754940,20120827,65880000,66310000,67080000,65850000,469970,161640
754941,20120828,65510000,65660000,65750000,65160000,226954,168502
